Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
189,E093291,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, right eye    ",
190,E093292,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, left eye    ",
191,E093293,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, bilateral     ",
192,E093299,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without  macular edema, unspecified eye    ",
193,E093311,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, right eye    ",
194,E093312,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, left eye    ",
195,E093313,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, bilateral     ",
196,E093319,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with  macular edema, unspecified eye    ",
197,E093391,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, right eye    ",
198,E093392,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, left eye    ",
199,E093393,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, bilateral     ",
200,E093399,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without  macular edema, unspecified eye    ",
201,E093411,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, right eye    ",
202,E093412,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, left eye    ",
203,E093413,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, bilateral     ",
204,E093419,Diabetic retinopathy,NPDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with  macular edema, unspecified eye    ",
205,E093491,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, right eye    ",
206,E093492,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, left eye    ",
207,E093493,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, bilateral     ",
208,E093499,Diabetic retinopathy,NPDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, unspecified eye    ",
209,E093511,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, right eye     ",
210,E093512,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, left eye     ",
211,E093513,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, bilateral      ",
212,E093519,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, unspecified eye     ",
213,E093521,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, right  eye","Low numbers (< 20), and incomplete TS data of E09.352%"
214,E093522,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, left  eye","Low numbers (< 20), and incomplete TS data of E09.352%"
215,E093523,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, bilateral  ","Low numbers (< 20), and incomplete TS data of E09.352%"
216,E093529,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, unspecified  eye","Low numbers (< 20), and incomplete TS data of E09.352%"
217,E093531,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  right","Low numbers (< 20), and incomplete TS data of E09.353%"
218,E093532,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  left","Low numbers (< 20), and incomplete TS data of E09.353%"
219,E093533,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  bilateral","Low numbers (< 20), and incomplete TS data of E09.353%"
220,E093539,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  unspecified","Low numbers (< 20), and incomplete TS data of E09.353%"
221,E093541,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,","Low numbers (< 20), and incomplete TS data of E09.354%"
222,E093542,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,","Low numbers (< 20), and incomplete TS data of E09.354%"
223,E093543,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,","Low numbers (< 20), and incomplete TS data of E09.354%"
224,E093549,Diabetic retinopathy,PDR w/ DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,","Low numbers (< 20), and incomplete TS data of E09.354%"
225,E093551,Diabetic retinopathy,"PDR, stable",EYE005,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right  eye       ","Low numbers (< 20), and incomplete TS data of E09.355%"
226,E093552,Diabetic retinopathy,"PDR, stable",EYE005,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left  eye       ","Low numbers (< 20), and incomplete TS data of E09.355%"
227,E093553,Diabetic retinopathy,"PDR, stable",EYE005,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral         ","Low numbers (< 20), and incomplete TS data of E09.355%"
228,E093559,Diabetic retinopathy,"PDR, stable",EYE005,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified  eye       ","Low numbers (< 20), and incomplete TS data of E09.355%"
229,E093591,Diabetic retinopathy,PDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, right eye     ","Low numbers (< 20), and incomplete TS data of E09.359%"
230,E093592,Diabetic retinopathy,PDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, left eye     ","Low numbers (< 20), and incomplete TS data of E09.359%"
231,E093593,Diabetic retinopathy,PDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, bilateral      ","Low numbers (< 20), and incomplete TS data of E09.359%"
232,E093599,Diabetic retinopathy,PDR w/o DME,EYE005,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, unspecified eye     ","Low numbers (< 20), and incomplete TS data of E09.359%"
233,E0936,Diabetic retinopathy,diabetic cataract,EYE002,Drug or chemical induced diabetes mellitus with diabetic cataract            ,"Single-digits starting in Jan 2019. Low numbers (< 20), and incomplete TS data of E09.36%"
234,E0937X1,Diabetic retinopathy,DME resolved after tx,EYE005,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, right eye     ","Very low numbers (< 5), and incomplete TS data of E09.37X%"
235,E0937X2,Diabetic retinopathy,DME resolved after tx,EYE005,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, left eye     ","Very low numbers (< 5), and incomplete TS data of E09.37X%"
236,E0937X3,Diabetic retinopathy,DME resolved after tx,EYE005,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, bilateral      ","Very low numbers (< 5), and incomplete TS data of E09.37X%"
237,E0937X9,Diabetic retinopathy,DME resolved after tx,EYE005,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, unspecified eye     ","Very low numbers (< 5), and incomplete TS data of E09.37X%"
238,E0939,Diabetic retinopathy,other diabetic ophthalmic compl,EYE005,Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication          ,"Low numbers (< 20), and incomplete TS data of E09.39%"
239,E10311,Diabetic retinopathy,unspec DR w/ DME,EYE005,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema          ,
240,E10319,Diabetic retinopathy,unspec DR w/o DME,EYE005,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema          ,
241,E103211,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  right eye      ",
242,E103212,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  left eye      ",
243,E103213,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  bilateral       ",
244,E103219,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  unspecified eye      ",
245,E103291,Diabetic retinopathy,NPDR w/o DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  right eye      ",
246,E103292,Diabetic retinopathy,NPDR w/o DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  left eye      ",
247,E103293,Diabetic retinopathy,NPDR w/o DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  bilateral       ",
248,E103299,Diabetic retinopathy,NPDR w/o DME,EYE005,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  unspecified eye      ",
249,E103311,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  right eye      ",
250,E103312,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  left eye      ",
251,E103313,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  bilateral       ",
252,E103319,Diabetic retinopathy,NPDR w/ DME,EYE005,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  unspecified eye      ",
253,E103391,Diabetic retinopathy,NPDR w/o DME,EYE005,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,  right eye      ",
254,E103392,Diabetic retinopathy,NPDR w/o DME,EYE005,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,  left eye      ",
