"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"207","E09.3493","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, bilateral     "
"208","E09.3499","Diabetic retinopathy","NPDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without  macular edema, unspecified eye    "
"209","E09.3511","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, right eye     "
"210","E09.3512","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, left eye     "
"211","E09.3513","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, bilateral      "
"212","E09.3519","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular  edema, unspecified eye     "
"213","E09.3521","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, right  eye"
"214","E09.3522","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, left  eye"
"215","E09.3523","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, bilateral  "
"216","E09.3529","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment involving the macula, unspecified  eye"
"217","E09.3531","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  right"
"218","E09.3532","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  left"
"219","E09.3533","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  bilateral"
"220","E09.3539","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction  retinal detachment not involving the macula,  unspecified"
"221","E09.3541","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"222","E09.3542","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"223","E09.3543","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"224","E09.3549","Diabetic retinopathy","PDR w/ DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined  traction retinal detachment and rhegmatogenous retinal  detachment,"
"225","E09.3551","Diabetic retinopathy","PDR, stable","EYE005","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right  eye       "
"226","E09.3552","Diabetic retinopathy","PDR, stable","EYE005","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left  eye       "
"227","E09.3553","Diabetic retinopathy","PDR, stable","EYE005","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral         "
"228","E09.3559","Diabetic retinopathy","PDR, stable","EYE005","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified  eye       "
"229","E09.3591","Diabetic retinopathy","PDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, right eye     "
"230","E09.3592","Diabetic retinopathy","PDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, left eye     "
"231","E09.3593","Diabetic retinopathy","PDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, bilateral      "
"232","E09.3599","Diabetic retinopathy","PDR w/o DME","EYE005","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular  edema, unspecified eye     "
"233","E09.36","Diabetic retinopathy","diabetic cataract","EYE002","Drug or chemical induced diabetes mellitus with diabetic cataract            "
"234","E09.37X1","Diabetic retinopathy","DME resolved after tx","EYE005","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, right eye     "
"235","E09.37X2","Diabetic retinopathy","DME resolved after tx","EYE005","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, left eye     "
"236","E09.37X3","Diabetic retinopathy","DME resolved after tx","EYE005","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, bilateral      "
"237","E09.37X9","Diabetic retinopathy","DME resolved after tx","EYE005","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following  treatment, unspecified eye     "
"238","E09.39","Diabetic retinopathy","other diabetic ophthalmic compl","EYE005","Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication          "
"239","E10.311","Diabetic retinopathy","unspec DR w/ DME","EYE005","Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema          "
"240","E10.319","Diabetic retinopathy","unspec DR w/o DME","EYE005","Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema          "
"241","E10.3211","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  right eye      "
"242","E10.3212","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  left eye      "
"243","E10.3213","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  bilateral       "
"244","E10.3219","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,  unspecified eye      "
"245","E10.3291","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  right eye      "
"246","E10.3292","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  left eye      "
"247","E10.3293","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  bilateral       "
"248","E10.3299","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,  unspecified eye      "
"249","E10.3311","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  right eye      "
"250","E10.3312","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  left eye      "
"251","E10.3313","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  bilateral       "
"252","E10.3319","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,  unspecified eye      "
"253","E10.3391","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,  right eye      "
"254","E10.3392","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,  left eye      "
"255","E10.3393","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,  bilateral       "
"256","E10.3399","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,  unspecified eye      "
"257","E10.3411","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,  right eye      "
"258","E10.3412","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,  left eye      "
"259","E10.3413","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,  bilateral       "
"260","E10.3419","Diabetic retinopathy","NPDR w/ DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,  unspecified eye      "
"261","E10.3491","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  right eye      "
"262","E10.3492","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  left eye      "
"263","E10.3493","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  bilateral       "
"264","E10.3499","Diabetic retinopathy","NPDR w/o DME","EYE005","Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,  unspecified eye      "
"265","E10.3511","Diabetic retinopathy","PDR w/ DME","EYE005","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right  eye       "
"266","E10.3512","Diabetic retinopathy","PDR w/ DME","EYE005","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left  eye       "
"267","E10.3513","Diabetic retinopathy","PDR w/ DME","EYE005","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral         "
"268","E10.3519","Diabetic retinopathy","PDR w/ DME","EYE005","Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified  eye       "
"269","E10.3521","Diabetic retinopathy","PDR w/ DME","EYE005","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  involving the macula, right eye   "
"270","E10.3522","Diabetic retinopathy","PDR w/ DME","EYE005","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment  involving the macula, left eye   "
